symbol,series,date1,prev_close,open_price,high_price,low_price,last_price,close_price,avg_price,ttl_trd_q_qnty,turnover_lacs,no_of_trades,deliv_qty,deliv_per
1018GS2026, GS,2022-12-22,119.0,118.0,118.0,117.0,117.0,117.0,117.5,2003,2.35,5,2003,100.0
20MICRONS, EQ,2022-12-22,90.1,90.5,91.45,86.0,87.1,86.95,87.56,184986,161.98,3077,99687,53.89
21STCENMGM, EQ,2022-12-22,23.65,23.2,23.6,23.2,23.2,23.2,23.24,3832,0.89,36,3059,79.83
3IINFOLTD, EQ,2022-12-22,41.2,41.0,41.55,40.05,40.45,40.45,40.49,529244,214.29,3569,366786,69.3
3MINDIA, EQ,2022-12-22,22873.6,22993.0,22993.0,22500.0,22650.0,22622.5,22828.8,4890,1116.33,1310,3547,72.54
3PLAND, EQ,2022-12-22,17.2,16.7,17.0,16.6,16.6,16.7,16.76,2634,0.44,64,2309,87.66
426GS2023, GS,2022-12-22,98.9,100.0,100.0,98.9,98.9,98.9,99.45,4,0.0,2,2,50.0
448GS2023, GS,2022-12-22,95.0,94.85,97.35,94.85,97.35,97.35,95.79,8000,7.66,3,5000,62.5
4THDIM, BE,2022-12-22,112.15,112.5,112.5,109.95,109.95,109.95,110.57,45410,50.21,177,None,None
515GS2025, GS,2022-12-22,93.76,93.74,93.74,93.74,93.74,93.74,93.74,5000,4.69,1,5000,100.0
522GS2025, GS,2022-12-22,94.5,94.75,94.75,94.75,94.75,94.75,94.75,20,0.02,2,20,100.0
5PAISA, EQ,2022-12-22,309.4,310.0,312.45,295.05,300.1,299.8,300.19,38926,116.85,2462,18060,46.4
63MOONS, EQ,2022-12-22,155.6,158.0,160.0,149.5,155.0,155.8,153.64,124293,190.97,3727,66214,53.27
667GS2035, GS,2022-12-22,97.99,99.99,100.0,99.99,100.0,99.99,100.0,6,0.01,2,3,50.0
667GS2050, GS,2022-12-22,91.48,91.49,91.49,91.3,91.3,91.3,91.3,14600,13.33,25,14419,98.76
669GS2024, GS,2022-12-22,102.5,103.49,103.49,101.0,101.0,101.0,101.86,290,0.3,2,290,100.0
695GS2061, GS,2022-12-22,95.0,95.5,95.5,95.0,95.5,95.5,95.47,2211,2.11,7,2211,100.0
