symbol,series,date1,prev_close,open_price,high_price,low_price,last_price,close_price,avg_price,ttl_trd_q_qnty,turnover_lacs,no_of_trades,deliv_qty,deliv_per,gain
SECL, SM,2022-12-22,336.15,306.1,369.75,302.55,369.75,369.75,348.46,58750,204.72,43,18750,31.91,0.2079385580768642
GREENPOWER, EQ,2022-12-22,10.45,10.7,12.35,9.95,12.1,12.1,11.2,28840760,3229.89,23150,13990160,48.51,0.1308411773047256
HUHTAMAKI, EQ,2022-12-22,196.65,195.95,224.95,187.65,220.0,220.8,214.19,1682348,3603.44,24631,451579,26.84,0.12681809895653864
DESTINY, SM,2022-12-22,19.65,18.7,20.6,18.7,20.6,20.6,20.49,234000,47.94,20,222000,94.87,0.10160425353007378
JBMA, EQ,2022-12-22,442.0,450.0,504.0,431.1,483.6,493.45,486.18,2594691,12614.7,69042,349934,13.49,0.09655558268229167
SGBNOV25, GB,2022-12-22,5202.0,5205.0,5694.45,5205.0,5694.45,5694.45,5424.71,19,1.03,6,16,84.21,0.0940346196565802
MOREPENLAB, EQ,2022-12-22,33.0,33.5,38.0,33.45,36.9,36.55,36.39,44990441,16372.5,71877,8920052,19.83,0.09104475334509095
UMANGDAIRY, EQ,2022-12-22,61.65,57.35,66.0,57.1,62.55,62.15,60.09,82981,49.86,1300,12475,15.03,0.08369665526536658
BMETRICS, SM,2022-12-22,1960.0,1862.0,2017.0,1862.0,2017.0,2017.0,1913.67,600,11.48,3,400,66.67,0.08324382384532761
PULZ, SM,2022-12-22,75.0,71.25,76.95,71.25,76.95,76.95,71.82,40000,28.73,10,40000,100.0,0.0799999571683114
LAKPRE, BZ,2022-12-22,6.0,5.75,6.15,5.75,6.15,6.15,5.95,1726,0.1,12,None,None,0.06956523397694463
ZENITHSTL, EQ,2022-12-22,5.3,5.05,5.8,4.95,5.1,5.4,5.14,414285,21.3,859,304724,73.55,0.06930690919075733
SGBDEC2513, GB,2022-12-22,5350.0,5154.0,5493.0,5154.0,5493.0,5493.0,5405.59,27,1.46,10,20,74.07,0.06577415599534342
NECLIFE, EQ,2022-12-22,22.15,22.5,25.3,22.5,24.35,23.95,24.44,5424464,1325.9,12263,1438021,26.51,0.06444447835286458
E2E, EQ,2022-12-22,186.05,182.05,195.35,176.75,195.35,193.4,180.55,12345,22.29,331,8330,67.48,0.062345458140419245
BIOFILCHEM, EQ,2022-12-22,52.0,53.4,61.65,52.8,56.1,56.65,58.44,632705,369.75,7625,213585,33.76,0.0608614214818884
BTML, SM,2022-12-22,93.1,91.2,97.75,88.45,97.75,96.6,93.32,144000,134.39,24,114000,79.17,0.05921054502823629
AJANTPHARM, EQ,2022-12-22,1171.8,1160.0,1251.0,1159.75,1233.0,1227.4,1204.72,1093311,13171.3,51775,235558,21.55,0.058103469322467675
LOTUSEYE, BE,2022-12-22,79.45,78.85,83.4,75.5,83.4,83.3,80.0,34272,27.42,255,None,None,0.056436330548531706
TIL, BZ,2022-12-22,151.95,150.0,159.5,145.5,159.5,158.35,153.47,14116,21.66,146,None,None,0.05566670735677083
DHUNINV, EQ,2022-12-22,691.85,687.05,729.7,666.05,729.0,724.7,701.38,4557,31.96,639,2239,49.13,0.05479954163889414
DELPHIFX, EQ,2022-12-22,385.55,381.0,424.0,381.0,397.25,401.7,411.63,7796,32.09,1093,3022,38.76,0.05433074070086942
ZIMLAB, EQ,2022-12-22,331.8,110.1,116.1,110.1,116.1,116.05,115.39,88301,101.89,1460,41798,47.34,0.05404182252586735
JALAN, SM,2022-12-22,12.85,12.25,13.0,12.25,12.9,12.9,12.67,33000,4.18,11,18000,54.55,0.05306119334941008
KOTHARIPRO, EQ,2022-12-22,123.9,124.0,131.85,121.65,131.0,130.25,125.69,19795,24.88,303,16756,84.65,0.05040322580645161
