symbol,series,open,high,low,close,last,tottrdqty,timestamp,gain
INDSWFTLTD,EQ,9.5,11.25,9.1,11.25,11.25,492455,2022-12-23,0.18421052631578946
SYNCOMF,EQ,8.45,9.7,8.1,9.7,9.7,19359086,2022-12-23,0.14792899742191917
NECLIFE,EQ,24.2,28.5,24.2,27.5,27.65,9218236,2022-12-23,0.13636360053815605
MANAKALUCO,EQ,19.35,23.55,19.35,21.65,21.1,571654,2022-12-23,0.1188630073239229
MOREPENLAB,EQ,38.5,43.7,37.95,42.65,43.5,70902748,2022-12-23,0.10779224742542613
TIL,BZ,151.05,166.25,151.05,166.25,166.25,112784,2022-12-23,0.10062890858091446
EKC,EQ,93.0,109.0,92.85,101.8,103.25,5474104,2022-12-23,0.09462368872857863
SHILPAMED,EQ,265.0,298.0,262.1,289.55,288.9,4322435,2022-12-23,0.0926414633696934
VIVIMEDLAB,BZ,10.5,11.45,10.5,11.45,11.45,401340,2022-12-23,0.0904761723109654
KANDARP,SM,13.8,15.7,13.8,15.0,15.0,44000,2022-12-23,0.08695650671590574
BTML,SM,93.4,101.4,92.2,101.4,101.4,282000,2022-12-23,0.08565310352573594
FLEXITUFF,BE,29.3,32.3,29.3,31.75,31.8,39876,2022-12-23,0.08361777565647621
MAHICKRA,SM,75.5,81.5,75.5,81.5,81.5,7500,2022-12-23,0.07947019867549669
JFLLIFE,SM,31.0,33.3,30.1,33.2,33.3,28000,2022-12-23,0.07096776654643397
RNAVAL,BZ,2.3,2.45,2.25,2.45,2.45,1143674,2022-12-23,0.06521743412053967
AMEYA,SM,40.0,42.5,40.0,42.5,42.5,20000,2022-12-23,0.0625
FOCUS,EQ,265.0,288.45,261.05,281.4,278.4,141042,2022-12-23,0.06188676942069576
UNIVASTU,EQ,79.6,87.0,75.0,84.35,85.3,993975,2022-12-23,0.05967336797806952
WFL,EQ,205.5,218.8,205.5,217.65,215.85,11549,2022-12-23,0.059124057890434914
NDTV,EQ,322.1,348.2,318.25,340.65,339.95,1552081,2022-12-23,0.05759077131779751
UNIVCABLES,EQ,252.0,275.4,252.0,266.3,264.0,150075,2022-12-23,0.05674598330543155
KOTAKGOLD,EQ,44.41,47.0,44.41,46.87,46.91,525413,2022-12-23,0.055392909095360134
GSTL,SM,80.0,84.85,80.0,84.4,84.85,12000,2022-12-23,0.055000019073486325
SONUINFRA,SM,36.1,38.0,36.1,38.0,38.0,9000,2022-12-23,0.052631623440121615
BROOKS,EQ,99.95,105.2,99.0,105.2,105.2,85338,2022-12-23,0.05252626473534206
SECL,SM,306.1,369.75,302.55,369.75,369.75,58750,2022-12-22,0.2079385580768642
GREENPOWER,EQ,10.7,12.35,9.95,12.1,12.1,28840760,2022-12-22,0.1308411773047256
HUHTAMAKI,EQ,195.95,224.95,187.65,220.8,220.0,1682348,2022-12-22,0.12681809895653864
DESTINY,SM,18.7,20.6,18.7,20.6,20.6,234000,2022-12-22,0.10160425353007378
JBMA,EQ,450.0,504.0,431.1,493.45,483.6,2594691,2022-12-22,0.09655558268229167
SGBNOV25,GB,5205.0,5694.45,5205.0,5694.45,5694.45,19,2022-12-22,0.0940346196565802
MOREPENLAB,EQ,33.5,38.0,33.45,36.55,36.9,44990441,2022-12-22,0.09104475334509095
UMANGDAIRY,EQ,57.35,66.0,57.1,62.15,62.55,82981,2022-12-22,0.08369665526536658
BMETRICS,SM,1862.0,2017.0,1862.0,2017.0,2017.0,600,2022-12-22,0.08324382384532761
PULZ,SM,71.25,76.95,71.25,76.95,76.95,40000,2022-12-22,0.0799999571683114
LAKPRE,BZ,5.75,6.15,5.75,6.15,6.15,1726,2022-12-22,0.06956523397694463
ZENITHSTL,EQ,5.05,5.8,4.95,5.4,5.1,414285,2022-12-22,0.06930690919075733
SGBDEC2513,GB,5154.0,5493.0,5154.0,5493.0,5493.0,27,2022-12-22,0.06577415599534342
NECLIFE,EQ,22.5,25.3,22.5,23.95,24.35,5424464,2022-12-22,0.06444447835286458
E2E,EQ,182.05,195.35,176.75,193.4,195.35,12345,2022-12-22,0.062345458140419245
BIOFILCHEM,EQ,53.4,61.65,52.8,56.65,56.1,632705,2022-12-22,0.0608614214818884
BTML,SM,91.2,97.75,88.45,96.6,97.75,144000,2022-12-22,0.05921054502823629
AJANTPHARM,EQ,1160.0,1251.0,1159.75,1227.4,1233.0,1093311,2022-12-22,0.058103469322467675
LOTUSEYE,BE,78.85,83.4,75.5,83.3,83.4,34272,2022-12-22,0.056436330548531706
TIL,BZ,150.0,159.5,145.5,158.35,159.5,14116,2022-12-22,0.05566670735677083
DHUNINV,EQ,687.05,729.7,666.05,724.7,729.0,4557,2022-12-22,0.05479954163889414
DELPHIFX,EQ,381.0,424.0,381.0,401.7,397.25,7796,2022-12-22,0.05433074070086942
ZIMLAB,EQ,110.1,116.1,110.1,116.05,116.1,88301,2022-12-22,0.05404182252586735
JALAN,SM,12.25,13.0,12.25,12.9,12.9,33000,2022-12-22,0.05306119334941008
KOTHARIPRO,EQ,124.0,131.85,121.65,130.25,131.0,19795,2022-12-22,0.05040322580645161
BALPHARMA,EQ,87.45,102.4,86.65,99.4,98.65,644252,2022-12-21,0.13664957112244844
THYROCARE,EQ,617.75,709.0,616.85,700.85,699.0,1668836,2022-12-21,0.1345203975490692
IOLCP,EQ,352.95,415.0,352.95,399.7,398.5,9630861,2022-12-21,0.13245501737673174
