symbol,min(timestamp),open,max(timestamp),close,gain
PREMIERPOL,2022-11-24,90.65,2022-12-23,110.4,0.2178709284893033
WEIZMANIND,2022-11-24,105.35,2022-12-23,122.35,0.16136687466754923
SADBHAV,2022-11-24,14.0,2022-12-23,16.1,0.15000002724783762
HPL,2022-11-24,98.95,2022-12-23,112.55,0.13744321902939913
CHEMPLASTS,2022-11-24,388.0,2022-12-23,435.3,0.12190718503342461
AXITA,2022-11-24,45.0,2022-12-23,50.25,0.11666666666666667
ICICIGOLD,2022-11-24,42.2,2022-12-23,46.65,0.10545025313950936
667GS2035,2022-11-25,87.85,2022-12-22,96.96,0.1036994965120596
HINDMOTORS,2022-11-24,19.25,2022-12-23,21.0,0.09090909090909091
VEEKAYEM,2022-11-24,33.15,2022-12-22,36.0,0.08597280069191586
BOHRAIND,2022-11-24,153.9,2022-12-23,166.65,0.08284600718422287
BGLOBAL,2022-11-28,3.05,2022-12-19,3.3,0.08196721439622995
JPASSOCIAT,2022-11-24,9.9,2022-12-23,10.7,0.08080810318795033
MARALOVER,2022-11-24,64.5,2022-12-23,69.55,0.07829462095748546
LTTS,2022-11-24,3867.95,2022-12-23,4159.75,0.07544049238272026
SALASAR,2022-11-24,36.2,2022-12-23,38.85,0.07320435511964503
SANWARIA,2022-11-24,0.7,2022-12-23,0.75,0.07142858967489157
MEGAFLEX,2022-11-24,38.75,2022-12-23,41.5,0.07096774193548387
AMJLAND,2022-11-24,28.05,2022-12-23,30.0,0.06951874566766655
GREENPOWER,2022-11-24,8.75,2022-12-23,9.35,0.06857147216796874
HUBTOWN,2022-11-24,55.1,2022-12-23,58.8,0.06715065091475889
TV18BRDCST,2022-11-24,37.45,2022-12-23,39.9,0.06542057978711648
KHAITANLTD,2022-11-24,50.0,2022-12-23,53.25,0.065
NETWORK18,2022-11-24,68.95,2022-12-23,73.4,0.06453959063953471
DHANBANK,2022-11-24,16.45,2022-12-23,17.5,0.06382973789436605
