SYMBOL,SERIES,OPEN,HIGH,LOW,CLOSE,LAST,TOTTRDQTY,TIMESTAMP
1018GS2026,GS,121.02,121.02,121.02,121.02,121.02,5,02-DEC-2022
1018GS2026,GS,121.02,121.02,121.02,121.02,121.02,8001,15-DEC-2022
1018GS2026,GS,121.02,121.02,121.0,121.0,121.0,801,16-DEC-2022
1018GS2026,GS,121.0,121.0,120.0,120.0,120.0,1500,19-DEC-2022
1018GS2026,GS,120.0,120.0,114.05,119.0,119.0,2802,20-DEC-2022
1018GS2026,GS,119.0,119.0,119.0,119.0,119.0,201,21-DEC-2022
182D050123,TB,98.25,98.25,98.25,98.25,98.25,1100,01-DEC-2022
182D050123,TB,97.02,97.02,97.02,97.02,97.02,100,14-DEC-2022
182D060423,TB,97.0,97.61,97.0,97.61,97.61,6000,21-DEC-2022
182D090223,TB,98.75,98.75,98.75,98.75,98.75,700,19-DEC-2022
182D090223,TB,98.75,98.75,98.75,98.75,98.75,3400,20-DEC-2022
182D090223,TB,98.75,98.8,98.75,98.75,98.75,11500,21-DEC-2022
182D120123,TB,97.02,97.02,97.02,97.02,97.02,100,14-DEC-2022
182D130423,TB,97.0,97.0,97.0,97.0,97.0,1600,01-DEC-2022
182D151222,TB,99.6,99.6,99.5,99.5,99.5,4900,01-DEC-2022
182D180523,TB,97.0,97.0,97.0,97.0,97.0,500,15-DEC-2022
182D230323,TB,97.05,97.05,97.05,97.05,97.05,300,07-DEC-2022
182D250523,TB,96.0,96.0,96.0,96.0,96.0,100,12-DEC-2022
182D250523,TB,96.05,96.05,96.05,96.05,96.05,100,15-DEC-2022
182D291222,TB,99.4,99.4,99.35,99.35,99.35,6000,05-DEC-2022
182D291222,TB,99.35,99.35,99.35,99.35,99.35,100,12-DEC-2022
182D291222,TB,99.25,99.25,99.25,99.25,99.25,100,14-DEC-2022
182D300323,TB,96.7,96.7,96.7,96.7,96.7,5000,05-DEC-2022
182D300323,TB,97.8,97.8,97.75,97.77,97.75,1800,14-DEC-2022
20MICRONS,EQ,93.7,95.5,92.65,93.2,93.5,117753,01-DEC-2022
20MICRONS,EQ,92.4,96.3,92.4,94.9,94.5,181872,02-DEC-2022
20MICRONS,EQ,95.3,96.85,94.5,95.15,95.45,144360,05-DEC-2022
20MICRONS,EQ,95.1,95.45,93.55,93.8,93.95,76757,06-DEC-2022
20MICRONS,EQ,94.2,102.0,93.1,98.85,99.8,720257,07-DEC-2022
20MICRONS,EQ,99.45,101.0,97.6,99.3,99.05,256247,08-DEC-2022
20MICRONS,EQ,99.95,100.7,95.9,96.65,96.5,175541,09-DEC-2022
20MICRONS,EQ,96.1,97.1,94.3,96.05,95.6,123557,12-DEC-2022
20MICRONS,EQ,95.1,102.0,95.1,98.25,98.5,452625,13-DEC-2022
20MICRONS,EQ,98.8,100.0,96.25,96.8,97.15,126169,14-DEC-2022
